0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
1920	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1921	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1922	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1923	NA	NA	NA	NA	NA	NA	NA	NA	72.5	102.2	NA	NA	NA	135.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1924	NA	NA	NA	NA	NA	206.1	NA	NA	32.6	156.6	50.8	NA	NA	85.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73.0	137.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1925	NA	NA	45.5	NA	NA	71.4	NA	NA	28.0	130.8	44.4	NA	NA	61.5	NA	NA	NA	NA	NA	37.2	NA	NA	NA	NA	28.1	NA	NA	NA	NA	NA	NA	40.6	NA	NA	NA	NA
1926	NA	NA	61.1	NA	NA	122.0	NA	NA	59.0	149.4	41.4	NA	NA	94.8	NA	NA	64.0	NA	NA	39.1	NA	74.0	NA	NA	66.3	90.9	NA	NA	NA	NA	NA	100.2	38.6	NA	NA	NA
1927	NA	NA	45.1	NA	NA	110.4	NA	NA	58.4	197.8	39.8	NA	NA	60.7	NA	NA	39.1	NA	NA	50.9	NA	128.4	NA	NA	88.4	74.3	NA	NA	NA	52.7	122.8	83.9	48.4	NA	NA	NA
1928	NA	NA	72.6	NA	NA	138.0	NA	NA	67.5	425.5	72.0	NA	NA	120.5	NA	NA	43.2	NA	NA	67.9	NA	144.8	NA	NA	55.6	101.0	NA	NA	NA	50.7	82.6	81.7	40.7	NA	NA	NA
1929	NA	NA	NA	NA	NA	135.0	NA	NA	48.7	91.2	28.8	NA	NA	90.0	NA	NA	25.6	NA	NA	83.8	NA	93.5	NA	NA	96.4	53.2	NA	NA	NA	73.0	NA	NA	32.6	NA	NA	NA
